,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
jud,0,75,102,273,80,79,95,96,124,82,110,63,60,52,79,0
ige,3,16,13,0,4,6,15,29,26,8,11,8,0,0,0,9
w_e,12,0,0,0,4,0,0,0,0,13,1,0,0,0,0,17
arc,0,0,0,28,10,0,0,0,0,0,0,74,0,0,0,0
tal,210,71,28,122,25,180,94,64,66,163,44,66,184,102,93,126
uun,7,0,0,0,0,0,0,9,25,6,9,0,22,684,44,0
eps,2,1,0,0,0,3,0,0,0,2,2,0,2,0,0,1
pes,11,23,0,87,9,12,1,1,0,5,10,28,4,0,20,1
wot,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z_y,0,0,0,35,0,0,0,0,0,0,0,33,0,0,0,0
oaq,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bdu,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0
bt_,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
_e_,801,0,0,0,0,0,2,0,0,0,0,94,0,0,0,0
i_f,0,8,6,33,8,72,11,10,8,10,6,5,7,0,5,0
h_v,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ugs,15,6,9,0,0,5,33,31,8,15,29,0,0,4,8,0
whe,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0
mep,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
wis,32,0,0,0,61,19,0,39,35,0,0,0,34,5,0,0
en_,4367,93,0,1921,1477,1841,3,1,2,8517,8,1591,4,0,74,2192
nmo,0,0,0,0,0,42,0,0,0,0,0,0,0,0,33,26
s_c,0,0,0,567,237,0,0,0,0,0,0,689,0,0,0,0
ads,2,0,1,0,4,0,3,0,0,2,0,0,0,0,0,0
npe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
_ho,12,12,3,202,401,0,2,4,1,1,5,412,5,0,0,0
ila,375,156,2071,2145,31,243,2009,210,353,584,268,50,2274,2512,204,211
oro,16,278,13,12,2,7,9,17,25,6,7,39,18,0,23,145
kum,638,14,3,0,0,24,0,27,31,97,20,0,80,255,33,0
iis,15,174,5,0,0,3,0,1,7,12,11,0,51,6,3,2
ier,0,0,0,356,23,13,29,1,0,0,0,767,0,0,0,0
unr,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
jef,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0
cna,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cal,0,0,0,88,128,0,0,0,0,0,0,38,0,0,0,0
_kl,1,5,1,0,0,0,0,8,10,16,12,0,0,3,4,0
ngt,46,23,130,0,7,134,22,23,19,62,242,0,0,5,98,13
bir,0,5,30,67,14,33,3,2,12,2,5,28,6,3,3,0
itt,0,0,0,0,120,4,0,0,0,32,0,0,0,2,0,34
gha,0,220,354,0,0,2,222,275,185,108,906,0,184,87,91,42
ong,9,1952,1897,0,106,220,498,261,138,70,188,10,1531,0,269,1027
ure,19,1,1,7,85,6,1,1,1,2,1,15,1,0,1,0
uks,0,23,2,1,0,4,25,27,3,5,34,0,50,0,14,0
sne,16,0,0,3,12,5,0,0,0,0,0,0,0,0,0,8
idb,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpl,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0
koo,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,3
nyt,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
k_b,0,6,16,3,20,14,4,6,6,55,16,0,3,111,8,0
z_n,0,0,0,15,0,2,0,1,3,0,2,47,3,0,0,9
waj,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
h_n,4,19,0,0,70,1,0,0,0,0,58,7,10,59,0,54
asc,0,0,0,0,1,0,18,0,0,0,0,23,0,0,0,0
nez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
omw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
a_e,501,74,70,2105,1,43,78,31,74,814,149,725,84,0,54,2
rez,0,0,4,76,3,0,0,0,0,0,4,15,3,0,0,0
ils,1,0,0,0,3,1,0,0,0,0,0,0,0,5,0,0
mso,0,2,0,0,8,2,0,0,1,0,14,0,0,0,0,216
oja,0,0,0,12,0,0,0,0,0,0,0,23,0,0,0,0
tut,221,54,142,6,0,31,255,0,22,17,13,2,66,81,159,0
p_u,0,0,11,0,4,0,1,0,2,0,0,1,1,5,0,0
ion,0,7,19,352,264,27,107,90,19,1,16,60,12,0,8,2
nvy,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ihz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
nai,457,10,15,1,2,302,21,24,38,76,40,0,72,35,12,16
pij,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
aze,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,19
kpi,0,3,0,0,0,0,14,0,0,0,0,0,4,2,0,1
ilw,0,0,0,0,0,0,13,23,0,0,1,0,0,0,0,5
u_a,139,10,4,44,116,106,9,10,3,884,4,77,39,727,2,0
ktr,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rr_,0,0,0,0,3,0,0,0,0,2,0,17,0,0,0,0
gey,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
off,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
ywe,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10
ycy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
poc,2,0,0,50,20,0,0,0,0,0,0,47,0,0,0,0
_gi,149,345,1962,0,161,18,2563,2994,2065,168,3197,1,162,153,1523,2
mha,0,4,13,0,0,0,55,27,7,0,1,0,1,0,19,5
mze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
cpu,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ich,0,0,0,57,238,0,0,0,0,0,0,51,0,210,0,0
aia,0,10,10,11,13,10,10,10,11,10,11,0,11,0,10,0
ima,474,70,125,88,7,140,56,300,100,181,262,22,70,538,156,597
gpu,34,46,66,0,0,25,46,57,7,30,55,0,84,161,31,0
ien,0,0,0,2143,30,29,17,13,0,0,0,1005,0,0,0,0
alq,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
uhu,0,54,4,0,0,0,0,0,9,39,23,0,36,98,44,0
cub,0,0,0,2,2,0,0,0,0,0,0,12,0,0,0,0
unu,132,1,3,9,5,4,3,105,39,383,29,5,53,641,6,0
lhi,0,0,12,0,0,0,5,3,6,0,1,0,28,0,14,0
_td,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
_uw,848,3,1,3,0,0,3,1,2,0,1,0,2,28,1,0
abc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
_sc,0,0,0,0,97,0,0,0,0,0,0,1,0,0,0,0
_pe,1166,109,90,1288,245,87,523,583,620,667,729,908,71,0,103,434
boa,0,7,18,7,46,7,8,20,2,2,6,3,6,0,15,0
klu,0,0,0,0,0,0,1,4,0,0,0,0,3,1,0,0
iyu,600,0,78,0,0,0,0,0,20,319,141,0,0,2374,2,0
tov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
geg,19,0,0,0,0,136,0,0,0,0,0,0,0,0,0,22
cmu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dya,244,21,7,0,0,0,22,1156,12,219,79,0,2,0,4,0
awb,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,1
s_o,5,15,17,37,352,0,0,1,5,4,8,226,9,0,15,66
_gw,0,0,0,0,0,0,44,30,6,2,11,0,0,0,4,0
miu,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0
npi,8,0,0,0,0,0,13,12,8,5,0,0,0,0,21,16
l_u,1,0,51,37,18,2,5,35,8,10,0,18,7,7,5,0
agk,303,542,450,0,0,228,509,896,535,225,740,0,921,472,453,0
ip_,51,62,7,0,20,7,9,1,54,97,15,19,57,17,4,5
yze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
rpa,7,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0
aow,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
ews,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
och,0,0,0,48,1,0,0,0,0,0,0,34,0,0,0,0
rij,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
wra,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0
tng,55,0,31,0,0,13,0,0,0,0,0,0,0,0,17,15
ugr,0,0,0,0,0,0,1,149,0,0,0,0,0,0,0,0
ugi,35,0,82,0,0,39,134,197,1,3,5,1,10,29,10,0
gam,74,47,92,0,0,85,173,182,55,250,98,10,26,133,103,47
uok,0,0,86,0,0,11,1,0,1,0,2,0,0,0,11,0
wzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ths,0,0,0,0,18,0,0,0,0,4,0,0,5,0,0,0
bhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
cha,0,0,0,115,57,0,0,0,0,0,0,202,0,276,0,0
ikb,0,16,12,0,0,0,2,0,9,0,0,0,0,0,3,0
mee,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0
ozc,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
vam,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
ymn,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
wpu,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
una,160,53,278,79,0,1047,203,135,245,127,219,306,189,327,350,0
gsu,69,108,183,0,1,94,237,181,245,29,312,0,37,154,232,0
uz_,0,0,0,38,0,0,0,0,0,0,0,43,0,0,0,0
_b_,2,0,1,0,0,1,0,0,0,228,28,7,0,392,1,0
mse,2,0,0,0,105,3,0,0,0,0,0,0,0,0,0,1
ecl,0,0,0,5,6,0,0,0,0,0,0,13,0,0,0,0
_lm,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ouy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
tbu,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ras,70,144,39,209,12,65,18,44,199,76,201,238,55,19,47,16
o_i,205,254,97,57,104,878,370,236,319,14,274,62,173,0,331,1235
rec,6,1,0,348,121,0,0,0,0,0,0,359,0,0,0,0
mpw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
aar,27,61,22,0,1,73,7,38,107,75,4,1,45,0,99,4
